Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.00     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::new_allocator(__gnu_cxx::new_allocator<Wire*> const&)
  0.00      0.00     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.00     0.00       19     0.00     0.00  std::allocator<Wire*>::~allocator()
  0.00      0.00     0.00       17     0.00     0.00  std::allocator<Wire*>::allocator(std::allocator<Wire*> const&)
  0.00      0.00     0.00       17     0.00     0.00  std::_Vector_base<Wire*, std::allocator<Wire*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  NOT::gateOutput(Wire*)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<Gate*>::~new_allocator()
  0.00      0.00     0.00       15     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<Gate*>::new_allocator(__gnu_cxx::new_allocator<Gate*> const&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<Gate*>::~allocator()
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.00     0.00       13     0.00     0.00  std::allocator<Gate*>::allocator(std::allocator<Gate*> const&)
  0.00      0.00     0.00       13     0.00     0.00  std::_Vector_base<Gate*, std::allocator<Gate*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_normal<true, true>::copy_n<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       12     0.00     0.00  int* std::__copy<true, std::random_access_iterator_tag>::copy<int>(int const*, int const*, int*)
  0.00      0.00     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00       12     0.00     0.00  int* std::__copy_aux<int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int>)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __true_type)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::copy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Gate* const*, std::vector<Gate*, std::allocator<Gate*> > >::__normal_iterator(Gate* const* const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Gate* const*, std::vector<Gate*, std::allocator<Gate*> > >::base() const
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > std::__copy_normal<true, true>::copy_n<__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > > >(__gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >, __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >)
  0.00      0.00     0.00       10     0.00     0.00  Wire** std::__copy<true, std::random_access_iterator_tag>::copy<Wire*>(Wire* const*, Wire* const*, Wire**)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::end()
  0.00      0.00     0.00       10     0.00     0.00  Wire** std::__copy_aux<Wire**, Wire**>(Wire**, Wire**, Wire**)
